prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group
542	376209006	63248020	Hydrochlorothiazide 25mg tablets	Hydrochlorothiazide	25mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
581	148505001000027104	67597020	Atenolol 50mg with Chlortalidone 12.5mg tablets	Chlortalidone/Atenolol	50mg+12.5mg	Tablets	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
582	134456001	84705020	Doxazosin 4mg modified-release tablets	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
591	318768008	66154020	Prazosin 1mg tablets	Prazosin hydrochloride	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
594	318605000	83178020	Bisoprolol 2.5mg tablets	Bisoprolol fumarate	2.5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
599	318604001	68440020	Bisoprolol 1.25mg tablets	Bisoprolol fumarate	1.25mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
605	317935006	61267020	Chlortalidone 50mg tablets	Chlortalidone	50mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
692	318056008	59043020	Spironolactone 25mg tablets	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
707	318353009	59369020	Propranolol 40mg tablets	Propranolol hydrochloride	40mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
708	318057004	59044020	Spironolactone 50mg tablets	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
726	318769000	66155020	Prazosin 2mg tablets	Prazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
739	318475005	64666020	Metoprolol 50mg tablets	Metoprolol tartrate	50mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
751	318640004	80458020	Nebivolol 5mg tablets	Nebivolol hydrochloride	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
753	318474009	64667020	Metoprolol 100mg tablets	Metoprolol tartrate	100mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
755	123911000001106	85762020	Cardura XL 4mg tablets (Pfizer Ltd)	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
764	8150111000001108	88424020	Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)	Valsartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
769	318407001	66307020	Propranolol 80mg modified-release capsules	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
786	318525005	66681020	Sotalol 40mg tablets	Sotalol hydrochloride	40mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
787	141475001000027104	66713020	Spironolactone 100mg capsule	Spironolactone	100mg	Capsules	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
817	318633000	72238020	Carvedilol 3.125mg tablets	Carvedilol	3.125mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
822	243085001000027104	91125020	Bisoprolol 1.5mg/5ml oral suspension	Bisoprolol Fumarate	1.5mg/5ml	Oral Suspension	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
923	377566005	70711020	Co-amilozide 5mg/50mg tablets	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
924	318121006	70710020	Co-amilozide 2.5mg/25mg tablets	Hydrochlorothiazide/Amiloride hydrochloride	25mg + 2.5mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
940	318354003	59370020	Propranolol 80mg tablets	Propranolol hydrochloride	80mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
1006	226211000001106	53253020	Half Inderal LA 80mg capsules (AstraZeneca UK Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
1021	146811000001108	51047020	Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd)	Enalapril maleate/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
1048	821011000001100	54495020	Inderal 80mg tablets (AstraZeneca UK Ltd)	Propranolol hydrochloride	80mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
1050	930211000001107	54494020	Inderal 40mg tablets (AstraZeneca UK Ltd)	Propranolol hydrochloride	40mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
1124	288711000001105	54815020	Tenoretic 100mg/25mg tablets (AstraZeneca UK Ltd)	Atenolol/Chlortalidone	100mg + 25mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
1125	20765001000027100	50636020	Navidrex -k Tablet (Novartis Pharmaceuticals UK Ltd)	Potassium Chloride/Cyclopenthiazide		Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
1170	317940003	61684020	Cyclopenthiazide 500microgram tablets	Cyclopenthiazide	500microgram	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
1209	817911000001100	50651020	Neo-Naclex 5mg tablets (Mercury Pharma Group Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
1211	35910111000001104	67326020	Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets	Potassium chloride/Bendroflumethiazide	630mg + 2.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
1213	3638211000001100	50654020	Neo-Naclex-K modified-release tablets (Mercury Pharma Group Ltd)	Potassium chloride/Bendroflumethiazide	630mg + 2.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
1251	314211000001100	58026020	Moduret 25 tablets (Merck Sharp & Dohme Ltd)	Hydrochlorothiazide/Amiloride hydrochloride	25mg + 2.5mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
1288	825011000001103	51857020	Tenoret 50mg/12.5mg tablets (AstraZeneca UK Ltd)	Atenolol/Chlortalidone	50mg + 12.5mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
1290	318591005	68439020	Bisoprolol 10mg tablets	Bisoprolol fumarate	10mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
1292	347411000001101	49881020	Hypovase 1mg tablets (Pfizer Ltd)	Prazosin hydrochloride	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
1294	318783003	69310020	Doxazosin 4mg tablets	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
1297	4669111000001107	57454020	Aldactide 50 tablets (Pfizer Ltd)	Spironolactone/Hydroflumethiazide	50mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
1301	40615001000027104	53108020	Frumil ls 20mg+2.5mg Tablet (Helios Healthcare Ltd)	Amiloride hydrochloride/Furosemide	2.5mg + 20mg	Tablet	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
1333	318484005	59361020	Oxprenolol 40mg tablets	Oxprenolol hydrochloride	40mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
1334	36023011000001104	65274020	Oxprenolol 160mg modified-release tablets	Oxprenolol hydrochloride	160mg	Modified-release tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
1369	107935001000027104	62142020	Furosemide with amiloride 40mg+5mg Tablet	Furosemide/Amiloride Hydrochloride	40mg+5mg	Tablet	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
1448	318406005	66308020	Propranolol 160mg modified-release capsules	Propranolol hydrochloride	160mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
1455	318767003	66153020	Prazosin 500microgram tablets	Prazosin hydrochloride	500microgram	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
1520	17311000001102	68133020	Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril/Hydrochlorothiazide	50mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
1572	318526006	66682020	Sotalol 80mg tablets	Sotalol hydrochloride	80mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
1684	3142711000001107	68629020	Beta-Adalat modified-release capsules (Bayer Plc)	Atenolol/Nifedipine	50mg + 20mg	Modified-release capsule	Oral	02040000/02060200	Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers	B-blocker
1721	132811000001106	49166020	Dyazide 50mg/25mg tablets (AMCo)	Hydrochlorothiazide/Triamterene	25mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
1788	148515001000027104	67598020	Atenolol 100mg with Chlortalidone 25mg tablets	Chlortalidone/Atenolol	100mg+25mg	Tablets	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
2001	762511000001105	57453020	Aldactide 25 tablets (Pfizer Ltd)	Spironolactone/Hydroflumethiazide	25mg + 25mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
2002	159475001000027104	69291020	Amiloride 5mg / hydrochlorothiazide 50mg tablets	Amiloride Hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablets	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
2046	487811000001100	50633020	Navidrex 500microgram tablets (AMCo)	Cyclopenthiazide	500microgram	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
2117	3354611000001100	69662020	Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd)	Indoramin hydrochloride	20mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
2142	318058009	59045020	Spironolactone 100mg tablets	Spironolactone	100mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
2255	535711000001100	73233020	Navispare 2.5mg/250microgram tablets (AMCo)	Amiloride hydrochloride/Cyclopenthiazide	2.5mg + 250microgram	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
2346	152115001000027104	68063020	Hytrin 5mg Tablet (Abbott Laboratories Ltd)	Terazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
2347	152135001000027104	68066020	Hytrin 10mg Tablet (Abbott Laboratories Ltd)	Terazosin hydrochloride	10mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
2348	24005001000027100	51017020	Hytrin bph 10mg Tablet (Amdipharm Plc)	Terazosin hydrochloride	10mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
2361	54835001000027104	54886020	Trasicor 80mg Tablet (Novartis Pharmaceuticals UK Ltd)	Oxprenolol hydrochloride	80mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
2389	930511000001105	57447020	Aldactone 25mg tablets (Pfizer Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
2414	567911000001100	54493020	Inderal 10mg tablets (AstraZeneca UK Ltd)	Propranolol hydrochloride	10mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
2432	423911000001107	54818020	Tenormin LS 50mg tablets (AstraZeneca UK Ltd)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
2499	318481002	64896020	Nadolol 80mg tablets	Nadolol	80mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
2587	162411000001102	51860020	Tenormin 100mg tablets (AstraZeneca UK Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
2590	317111000001101	72526020	Tenormin 25mg tablets (AstraZeneca UK Ltd)	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
2612	317956008	63540020	Indapamide 2.5mg tablets	Indapamide hemihydrate	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
2629	318631003	72236020	Carvedilol 12.5mg tablets	Carvedilol	12.5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
2772	678511000001106	67963020	Lasoride 5mg/40mg tablets (Sanofi)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
2780	318485006	59362020	Oxprenolol 80mg tablets	Oxprenolol hydrochloride	80mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
2816	318739007	69659020	Indoramin 20mg tablets	Indoramin hydrochloride	20mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
2833	104585001000027104	61687020	CYCLOPENTHIAZIDE -K tablets	Potassium Chloride/Cyclopenthiazide		Tablets	Oral	02020100	Thiazides And Related Diuretics	Diuretic
2961	25411000001108	49564020	Frusene 50mg/40mg tablets (Orion Pharma (UK) Ltd)	Triamterene/Furosemide	50mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
2979	4955001000027104	48615020	Centyl k Tablet (Edwin Burgess Ltd)	Potassium chloride/Bendroflumethiazide	630mg + 2.5mg	Modified-release tablet	Oral	02020800	Diuretics With Potassium	Diuretic
2982	27665001000027104	51462020	Zestoretic 20- 20mg+12.5mg Tablet (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
3005	154311000001108	49929020	Inderal LA 160mg capsules (AstraZeneca UK Ltd)	Propranolol hydrochloride	160mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
3050	107985001000027104	62148020	Furosemide with triamterene 40mgwith50mg Tablet	Triamterene/Furosemide	40mg + 50mg	Tablet	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
3054	14435001000027104	49873020	Hygroton 100mg Tablet (Alliance Pharmaceuticals Ltd)	Chlortalidone	100mg	Tablet	Oral	02020100/06050200	Thiazides And Related Diuretics/Posterior Pituitary Hormones And Antagonists	Diuretic
3056	456611000001108	84103020	Natrilix SR 1.5mg tablets (Servier Laboratories Ltd)	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
3087	15356211000001102	75253020	Propranolol 40mg/5ml oral solution sugar free	Propranolol hydrochloride	8mg/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
3167	318355002	59374020	Propranolol 160mg tablets	Propranolol hydrochloride	160mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
3203	152555001000027104	68134020	Capozide LS Tablet (E R Squibb and Sons Ltd)	Hydrochlorothiazide/Captopril	12.5mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
3248	317973005	59424020	Furosemide 500mg tablets	Furosemide	500mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
3287	199505001000027104	76008020	Furosemide 1mg/ml Oral solution	Furosemide	1mg/ml	Oral Solution	Oral	02020200	Loop Diuretics	Diuretic
3293	19565001000027104	50482020	Moduretic Oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd)	Amiloride Hydrochloride/Hydrochlorothiazide		Oral Solution	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
3344	193911000001101	48397020	Betaloc 100mg tablets (AstraZeneca UK Ltd)	Metoprolol tartrate	100mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
3470	152075001000027104	68054020	Terazosin 1mg tablets	Terazosine	1mg	Tablets	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
3474	185111000001102	53660020	Betaloc-SA 200mg tablets (AstraZeneca UK Ltd)	Metoprolol tartrate	200mg	Modified-release tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
3516	318483004	59360020	Oxprenolol 20mg tablets	Oxprenolol hydrochloride	20mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
3517	376508004	63249020	Hydrochlorothiazide 50mg tablets	Hydrochlorothiazide	50mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
3526	159515001000027104	69296020	Amiloride with atenolol with hydrochlorothiazide capsules	Atenolol/Amiloride Hydrochloride/Hydrochlorothiazide		Capsules	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
3548	101645001000027104	61268020	Chlortalidone 100mg tablets	Chlortalidone	100mg	Tablets	Oral	02020100/06050200	Thiazides And Related Diuretics/Posterior Pituitary Hormones And Antagonists	Diuretic
3588	349611000001108	68353020	Monocor 5mg tablets (Wyeth Pharmaceuticals)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000/02100100	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction	B-blocker
3691	141295001000027104	66694020	Sotalol 160mg with hydrochlorothiazide 25mg tablet	Sotalol Hydrochloride/Hydrochlorothiazide	160mg + 25mg	Tablets	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
3701	159485001000027104	69292020	Amiloride 2.5mg / hydrochlorothiazide 25mg tablets	Amiloride Hydrochloride/Hydrochlorothiazide	2.5mg+25mg	Tablets	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
3715	318770004	66158020	Prazosin 5mg tablets	Prazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
3748	89605001000027104	59365020	Oxprenolol 160mg Tablet	Oxprenolol Hydrochloride	160mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
3793	318137000	73911020	Co-amilofruse 10mg/80mg tablets	Amiloride hydrochloride/Furosemide	10mg + 80mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
3827	121565001000027104	64050020	Propanix 40mg Tablet (Ashbourne Pharmaceuticals Ltd)	Propranolol hydrochloride	40mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
3902	78275001000027104	02507007	FRUSEMIDE 20MG/SPIRONOLACTONE 50MG MG CAP					00000000	Unknown	Spironolactone
3923	224425001000027104	83746020	Terazosin BPH starter pack 7x1mg with 14x2mg with 7x5mg	Terazosine	7 X 1mg + 14 X 2mg + 7 X 5mg	Starter Pack	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
3924	318776005	68056020	Terazosin 5mg tablets	Terazosin hydrochloride	5mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
3962	187005001000027104	06658007	TRIAMTERENE 50MG HYDROCHLOROTHIAZIDE25MG TAB					00000000	Unknown	Diuretic
3997	285911000001101	49872020	Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd)	Chlortalidone	50mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
4004	463811000001109	51641020	Sotacor 80mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Sotalol hydrochloride	80mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
4021	177775001000027104	06228007	PROPRANOLOL 20 MG TAB					00000000	Unknown	B-blocker
4025	473011000001107	51584020	Slow-Trasicor 160mg tablets (AMCo)	Oxprenolol hydrochloride	160mg	Modified-release tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
4034	159495001000027104	69293020	Amiloride 5mg / hydrochlorothiazide 50mg/5ml solution	Amiloride Hydrochloride/Hydrochlorothiazide	5mg + 50mg/5ml	Solution	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
4044	348911000001105	49062020	Diurexan 20mg tablets (Meda Pharmaceuticals Ltd)	Xipamide	20mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
4111	321311000001100	49880020	Hypovase 500microgram tablets (Pfizer Ltd)	Prazosin hydrochloride	500microgram	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
4161	84985001000027104	58739020	Spiroctan 25mg Tablet (Roche Products Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
