ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues	Group
91041000033118	318421004	Atenolol 100mg tablets	Atenolol 100mg tablets	Tablet	Oral	Atenolol	100.000mg	2100100	10000000	B-blocker
91141000033119	318420003	Atenolol 50mg tablets	Atenolol 50mg tablets	Tablet	Oral	Atenolol	50.000mg	2100100	40000000	B-blocker
91841000033113	482511000001101	Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd)	Atenix 25 tablets	Tablet	Oral	Atenolol	25.000mg	2040000	10000	B-blocker
92441000033119	629011000001109	Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd)	Atenix Co 50 tablets	Tablet	Oral	Atenolol/ Chlortalidone	50.000mg + 12.500mg	2040000	3000	B-blocker
92541000033118	271911000001106	Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd)	Atenix 50 tablets	Tablet	Oral	Atenolol	50.000mg	2040000	60000	B-blocker
116741000033118	3689111000001107	Baratol 25mg tablets (Amdipharm Plc)	Baratol 25mg tablets	Tablet	Oral	Indoramin hydrochloride	25.000mg		6000	Alpha blocker
124241000033112	549611000001106	Bedranol SR 160mg capsules (Sandoz Ltd)	Bedranol SR 160mg capsules	Modified-release capsule	Oral	Propranolol hydrochloride	160.000mg	2040000	3000	B-blocker
124341000033119	3142711000001107	Beta-Adalat modified-release capsules (Bayer Plc)	Beta-Adalat modified-release capsules	Modified-release capsule	Oral	Atenolol/ Nifedipine	50.000mg + 20.000mg	2040000	100000	B-blocker
133141000033117	510611000001108	Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories Ltd)	Beta-Prograne 160mg modified-release capsules	Modified-release capsule	Oral	Propranolol hydrochloride	160.000mg	2040000	6000	B-blocker
143941000033116	447111000001104	Beta-Cardone 200mg tablets (Advanz Pharma)	Beta-Cardone 200mg tablets	Tablet	Oral	Sotalol hydrochloride	200.000mg	2040000	1000	B-blocker
144041000033119	900511000001103	Beta-Cardone 40mg tablets (Focus Pharmaceuticals Ltd)	Beta-Cardone 40mg tablets	Tablet	Oral	Sotalol hydrochloride	40.000mg	2040000	40000	B-blocker
144141000033115	104011000001101	Beta-Cardone 80mg tablets (Focus Pharmaceuticals Ltd)	Beta-Cardone 80mg tablets	Tablet	Oral	Sotalol hydrochloride	80.000mg	2040000	20000	B-blocker
144341000033117	193911000001101	Betaloc 100mg tablets (AstraZeneca UK Ltd)	Betaloc 100mg tablets	Tablet	Oral	Metoprolol tartrate	100.000mg		30000	B-blocker
144441000033111	31811000001105	Betaloc 50mg tablets (AstraZeneca UK Ltd)	Betaloc 50mg tablets	Tablet	Oral	Metoprolol tartrate	50.000mg		60000	B-blocker
144541000033112	185111000001102	Betaloc-SA 200mg tablets (AstraZeneca UK Ltd)	Betaloc-SA 200mg tablets	Modified-release tablet	Oral	Metoprolol tartrate	200.000mg		40000	B-blocker
144741000033116	72811000001104	Betim 10mg tablets (Meda Pharmaceuticals Ltd)	Betim 10mg tablets	Tablet	Oral	Timolol maleate	10.000mg		6000	B-blocker
151341000033117	318590006	Bisoprolol 5mg tablets	Bisoprolol 5mg tablets	Tablet	Oral	Bisoprolol fumarate	5.000mg	2040000	20000000	B-blocker
151441000033111	NA	Bisoprolol Fumarate Tablets 10 mg							30000	B-blocker
209241000033119	546711000001107	Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capozide LS 12.5mg/25mg tablets	Tablet	Oral	Captopril/ Hydrochlorothiazide	25.000mg + 12.500mg		9000	Diuretic
209841000033115	3144511000001107	Carace 10 Plus tablets (Organon Pharma (UK) Ltd)	Carace 10 Plus tablets	Tablet	Oral	Hydrochlorothiazide/ Lisinopril	12.500mg + 10.000mg	2050501	10000	Diuretic
209941000033111	318631003	Carvedilol 12.5mg tablets	Carvedilol 12.5mg tablets	Tablet	Oral	Carvedilol	12.500mg	2040000	600000	B-blocker
210041000033115	318632005	Carvedilol 25mg tablets	Carvedilol 25mg tablets	Tablet	Oral	Carvedilol	25.000mg	2040000	500000	B-blocker
210141000033116	NA	Carvedilol Tablets 50 mg							90	B-blocker
216441000033110	17311000001102	Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capozide 25mg/50mg tablets	Tablet	Oral	Captopril/ Hydrochlorothiazide	50.000mg + 25.000mg	2050501	200000	Diuretic
216741000033115	907711000001109	Cardura 1mg tablets (Viatris UK Healthcare Ltd)	Cardura 1mg tablets	Tablet	Oral	Doxazosin mesilate	1.000mg	7040100	80000	Alpha blocker
216841000033113	41811000001109	Cardura 2mg tablets (Viatris UK Healthcare Ltd)	Cardura 2mg tablets	Tablet	Oral	Doxazosin mesilate	2.000mg	7040100	90000	Alpha blocker
217041000033116	3143511000001109	Carace 20 Plus tablets (Organon Pharma (UK) Ltd)	Carace 20 Plus tablets	Tablet	Oral	Hydrochlorothiazide/ Lisinopril	12.500mg + 20.000mg	2050501	30000	Diuretic
233241000033114	479211000001100	Celectol 400mg tablets (Neon Healthcare Ltd)	Celectol 400mg tablets	Tablet	Oral	Celiprolol hydrochloride	400.000mg	2040000	20000	B-blocker
233341000033116	318622003	Celiprolol 400mg tablets	Celiprolol 400mg tablets	Tablet	Oral	Celiprolol hydrochloride	400.000mg	2040000	100000	B-blocker
234841000033110	3932711000001105	Centyl K modified-release tablets (LEO Pharma)	Centyl K modified-release tablets	Modified-release tablet	Oral	Bendroflumethiazide/ Potassium chloride	2.500mg + 573.000mg		40000	Diuretic
236041000033111	318619000	Celiprolol 200mg tablets	Celiprolol 200mg tablets	Tablet	Oral	Celiprolol hydrochloride	200.000mg	2040000	400000	B-blocker
236141000033110	864811000001100	Celectol 200mg tablets (Neon Healthcare Ltd)	Celectol 200mg tablets	Tablet	Oral	Celiprolol hydrochloride	200.000mg	2040000	100000	B-blocker
246241000033116	408039005	Chlorothiazide 250mg/5ml oral suspension	Chlorothiazide 250mg/5ml oral suspension	Oral suspension	Oral	Chlorothiazide	50.000mg/1.000ml		8000	Diuretic
247941000033110	NA	Chlorothiazide Tablets 500 mg							7000	Diuretic
248041000033113	NA	Chlorthalidone Tablets 100 mg							3000	Diuretic
248141000033112	NA	Chlorthalidone Tablets 25 mg							2000	Diuretic
351941000033111	8792311000001109	Co-amilozide 5mg/50mg/5ml oral solution	Co-amilozide 5mg/50mg/5ml oral solution	Oral solution	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	1.000mg/1.000ml + 10.000mg/1.000ml		3000	Diuretic
369141000033118	377566005	Co-amilozide 5mg/50mg tablets	Co-amilozide 5mg/50mg tablets	Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	5.000mg + 50.000mg	2020400	2000000	Diuretic
370241000033111	410896007	Co-triamterzide 50mg/25mg tablets	Co-triamterzide 50mg/25mg tablets	Tablet	Oral	Hydrochlorothiazide/ Triamterene	25.000mg + 50.000mg	2020400	300000	Diuretic
370841000033110	255911000001105	Cozaar-Comp 50mg/12.5mg tablets (Organon Pharma (UK) Ltd)	Cozaar-Comp 50mg/12.5mg tablets	Tablet	Oral	Hydrochlorothiazide/ Losartan potassium	12.500mg + 50.000mg	2050502	200000	Diuretic
372741000033116	2977611000001106	Co-Betaloc tablets (Pfizer Ltd)	Co-Betaloc tablets	Tablet	Oral	Hydrochlorothiazide/ Metoprolol tartrate	12.500mg + 100.000mg		40000	B-blocker
372841000033114	3853411000001104	Co-Betaloc SA tablets (Pfizer Ltd)	Co-Betaloc SA tablets	Modified-release tablet	Oral	Hydrochlorothiazide/ Metoprolol tartrate	25.000mg + 200.000mg		5000	B-blocker
375241000033119	3686511000001108	Corgard 40mg tablets (Sanofi-Synthelabo Ltd)	Corgard 40mg tablets	Tablet	Oral	Nadolol	40.000mg		10000	B-blocker
375341000033112	3687411000001106	Corgard 80mg tablets (Neon Healthcare Ltd)	Corgard 80mg tablets	Tablet	Oral	Nadolol	80.000mg	2040000	10000	B-blocker
375441000033118	3886211000001102	Corgaretic 40mg tablets (Sanofi-Synthelabo Ltd)	Corgaretic 40mg tablets	Tablet	Oral	Bendroflumethiazide/ Nadolol	5.000mg + 40.000mg		7000	B-blocker
375541000033117	4057911000001102	Corgaretic 80mg tablets (Sanofi-Synthelabo Ltd)	Corgaretic 80mg tablets	Tablet	Oral	Bendroflumethiazide/ Nadolol	5.000mg + 80.000mg		8000	B-blocker
376441000033110	318575007	Co-tenidone 50mg/12.5mg tablets	Co-tenidone 50mg/12.5mg tablets	Tablet	Oral	Atenolol/ Chlortalidone	50.000mg + 12.500mg	2040000	2000000	B-blocker
376541000033111	377211005	Co-tenidone 100mg/25mg tablets	Co-tenidone 100mg/25mg tablets	Tablet	Oral	Atenolol/ Chlortalidone	100.000mg + 25.000mg	2040000	2000000	B-blocker
376641000033112	318136009	Co-amilofruse 5mg/40mg tablets	Co-amilofruse 5mg/40mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	2020400	7000000	Diuretic
376741000033115	318137000	Co-amilofruse 10mg/80mg tablets	Co-amilofruse 10mg/80mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	10.000mg + 80.000mg	2020400	70000	Diuretic
376841000033113	318135008	Co-amilofruse 2.5mg/20mg tablets	Co-amilofruse 2.5mg/20mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	2.500mg + 20.000mg	2020400	2000000	Diuretic
376941000033117	318121006	Co-amilozide 2.5mg/25mg tablets	Co-amilozide 2.5mg/25mg tablets	Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide	2.500mg + 25.000mg	2020400	600000	Diuretic
377041000033116	318127005	Co-flumactone 25mg/25mg tablets	Co-flumactone 25mg/25mg tablets	Tablet	Oral	Hydroflumethiazide/ Spironolactone	25.000mg + 25.000mg	2020400	20000	Diuretic
377141000033117	318128000	Co-flumactone 50mg/50mg tablets	Co-flumactone 50mg/50mg tablets	Tablet	Oral	Hydroflumethiazide/ Spironolactone	50.000mg + 50.000mg	2020400	20000	Diuretic
377341000033119	36091611000001104	Co-prenozide 160mg/0.25mg modified-release tablets	Co-prenozide 160mg/0.25mg modified-release tablets	Modified-release tablet	Oral	Cyclopenthiazide/ Oxprenolol hydrochloride	250.000microgram + 160.000mg		40000	B-blocker
395041000033117	317940003	Cyclopenthiazide 500microgram tablets	Cyclopenthiazide 500microgram tablets	Tablet	Oral	Cyclopenthiazide	500.000microgram	2020100	100000	Diuretic
438441000033119	3895211000001109	Dibenyline 10mg capsules (Mercury Pharma Group Ltd)	Dibenyline 10mg capsules	Capsule	Oral	Phenoxybenzamine hydrochloride	10.000mg		3000	Alpha blocker
470541000033117	4540011000001102	Diumide-K Continus tablets (Teofarma S.r.l.)	Diumide-K Continus tablets	Modified-release tablet	Oral	Furosemide/ Potassium chloride	40.000mg + 600.000mg		90000	Diuretic
470741000033113	348911000001105	Diurexan 20mg tablets (Viatris UK Healthcare Ltd)	Diurexan 20mg tablets	Tablet	Oral	Xipamide	20.000mg	2020100	40000	Diuretic
480541000033110	3354611000001100	Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd)	Doralese Tiltab 20mg tablets	Tablet	Oral	Indoramin hydrochloride	20.000mg	7040100	100000	Alpha blocker
480641000033111	318781001	Doxazosin 1mg tablets	Doxazosin 1mg tablets	Tablet	Oral	Doxazosin mesilate	1.000mg	7040100	4000000	Alpha blocker
480741000033119	318782008	Doxazosin 2mg tablets	Doxazosin 2mg tablets	Tablet	Oral	Doxazosin mesilate	2.000mg	7040100	8000000	Alpha blocker
480841000033112	318783003	Doxazosin 4mg tablets	Doxazosin 4mg tablets	Tablet	Oral	Doxazosin mesilate	4.000mg	7040100	10000000	Alpha blocker
491741000033113	714911000001108	Dytide capsules (Mercury Pharma Group Ltd)	Dytide capsules	Capsule	Oral	Benzthiazide/ Triamterene	25.000mg + 50.000mg		8000	Diuretic
492341000033115	132811000001106	Dyazide 50mg/25mg tablets (Advanz Pharma)	Dyazide 50mg/25mg tablets	Tablet	Oral	Hydrochlorothiazide/ Triamterene	25.000mg + 50.000mg	2020400	1000000	Diuretic
513941000033117	483911000001101	Emcor LS 5mg tablets (Merck Serono Ltd)	Emcor LS 5mg tablets	Tablet	Oral	Bisoprolol fumarate	5.000mg	2040000	40000	B-blocker
514141000033116	106611000001104	Emcor 10mg tablets (Merck Serono Ltd)	Emcor 10mg tablets	Tablet	Oral	Bisoprolol fumarate	10.000mg		40000	B-blocker
514741000033117	318591005	Bisoprolol 10mg tablets	Bisoprolol 10mg tablets	Tablet	Oral	Bisoprolol fumarate	10.000mg	2040000	8000000	B-blocker
556941000033118	334711000001101	Eucardic 12.5mg tablets (Roche Products Ltd)	Eucardic 12.5mg tablets	Tablet	Oral	Carvedilol	12.500mg		5000	B-blocker
557041000033117	709911000001107	Eucardic 25mg tablets (Roche Products Ltd)	Eucardic 25mg tablets	Tablet	Oral	Carvedilol	25.000mg		6000	B-blocker
614341000033113	550711000001106	Frumil LS 20mg/2.5mg tablets (Sanofi)	Frumil LS 20mg/2.5mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	2.500mg + 20.000mg	2020400	300000	Diuretic
614641000033117	427411000001106	Frumil 40mg/5mg tablets (Sanofi)	Frumil 40mg/5mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	2020400	2000000	Diuretic
615041000033112	25411000001108	Frusene 50mg/40mg tablets (Orion Pharma (UK) Ltd)	Frusene 50mg/40mg tablets	Tablet	Oral	Furosemide/ Triamterene	40.000mg + 50.000mg	2020400	300000	Diuretic
615141000033111	99311000001108	Frusid 40mg tablets (Dr Reddy's Laboratories (UK) Ltd)	Frusid 40mg tablets	Tablet	Oral	Furosemide	40.000mg		3000	Diuretic
615241000033116	818511000001106	Fru-Co 5mg/40mg tablets (Teva UK Ltd)	Fru-Co 5mg/40mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	2020400	90000	Diuretic
615541000033119	714311000001107	Froop 40mg tablets (Ashbourne Pharmaceuticals Ltd)	Froop 40mg tablets	Tablet	Oral	Furosemide	40.000mg	2020200	40000	Diuretic
615641000033118	82611000001106	Frumil Forte 10mg/80mg tablets (Sanofi)	Frumil Forte 10mg/80mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	10.000mg + 80.000mg	2020400	10000	Diuretic
658241000033117	226211000001106	Half Inderal LA 80mg capsules (AstraZeneca UK Ltd)	Half Inderal LA 80mg capsules	Modified-release capsule	Oral	Propranolol hydrochloride	80.000mg		1000000	B-blocker
660741000033115	724111000001103	Half Beta-Prograne 80mg modified-release capsules (Tillomed Laboratories Ltd)	Half Beta-Prograne 80mg modified-release capsules	Modified-release capsule	Oral	Propranolol hydrochloride	80.000mg	2040000	60000	B-blocker
742541000033112	4544011000001109	Hydrosaluric 25mg tablets (Organon Pharma (UK) Ltd)	Hydrosaluric 25mg tablets	Tablet	Oral	Hydrochlorothiazide	25.000mg		3000	Diuretic
742641000033113	4546211000001109	Hydrosaluric 50mg tablets (Organon Pharma (UK) Ltd)	Hydrosaluric 50mg tablets	Tablet	Oral	Hydrochlorothiazide	50.000mg		2000	Diuretic
742841000033114	285911000001101	Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd)	Hygroton 50mg tablets	Tablet	Oral	Chlortalidone	50.000mg	2020100	50000	Diuretic
743541000033118	321311000001100	Hypovase 500microgram tablets (Pfizer Ltd)	Hypovase 500microgram tablets	Tablet	Oral	Prazosin hydrochloride	500.000microgram	2060401/ 7040100	40000	Alpha blocker
743641000033117	347411000001101	Hypovase 1mg tablets (Pfizer Ltd)	Hypovase 1mg tablets	Tablet	Oral	Prazosin hydrochloride	1.000mg	2060401/ 7040100	50000	Alpha blocker
743741000033114	150911000001104	Hypovase 2mg tablets (Pfizer Ltd)	Hypovase 2mg tablets	Tablet	Oral	Prazosin hydrochloride	2.000mg	2060401/ 7040100	50000	Alpha blocker
744941000033110	376209006	Hydrochlorothiazide 25mg tablets	Hydrochlorothiazide 25mg tablets	Tablet	Oral	Hydrochlorothiazide	25.000mg		80000	Diuretic
745041000033110	NA	Hydroflumethiazide Tablets 50 mg							1000	Diuretic
745441000033118	376508004	Hydrochlorothiazide 50mg tablets	Hydrochlorothiazide 50mg tablets	Tablet	Oral	Hydrochlorothiazide	50.000mg		20000	Diuretic
745641000033116	3150911000001107	Hytrin 10mg tablets (Advanz Pharma)	Hytrin 10mg tablets	Tablet	Oral	Terazosin hydrochloride	10.000mg	7040100	20000	Alpha blocker
745741000033113	3147611000001100	Hytrin 2mg tablets (Advanz Pharma)	Hytrin 2mg tablets	Tablet	Oral	Terazosin hydrochloride	2.000mg	7040100	40000	Alpha blocker
745841000033115	3154311000001103	Hytrin 5mg tablets (Advanz Pharma)	Hytrin 5mg tablets	Tablet	Oral	Terazosin hydrochloride	5.000mg	7040100	30000	Alpha blocker
756541000033113	154311000001108	Inderal LA 160mg capsules (AstraZeneca UK Ltd)	Inderal LA 160mg capsules	Modified-release capsule	Oral	Propranolol hydrochloride	160.000mg		400000	B-blocker
756641000033114	333111000001104	Inderetic 80mg/2.5mg capsules (AstraZeneca UK Ltd)	Inderetic 80mg/2.5mg capsules	Capsule	Oral	Bendroflumethiazide/ Propranolol hydrochloride	2.500mg + 80.000mg		40000	B-blocker
756741000033117	350811000001100	Inderex 160mg/5mg modified-release capsules (AstraZeneca UK Ltd)	Inderex 160mg/5mg modified-release capsules	Modified-release capsule	Oral	Bendroflumethiazide/ Propranolol hydrochloride	5.000mg + 160.000mg		40000	B-blocker
765741000033116	39020711000001104	Indapamide 1.5mg modified-release tablets	Indapamide 1.5mg modified-release tablets	Modified-release tablet	Oral	Indapamide	1.500mg	2020100	6000000	Diuretic
768441000033115	NA	Indoramin Tablets 25 mg							10000	Alpha blocker
768541000033119	39696511000001104	Indoramin 20mg tablets	Indoramin 20mg tablets	Tablet	Oral	Indoramin hydrochloride	20.000mg	7040100	900000	Alpha blocker
768641000033118	39696211000001104	Indapamide 2.5mg tablets	Indapamide 2.5mg tablets	Tablet	Oral	Indapamide hemihydrate	2.500mg	2020100	9000000	Diuretic
768741000033110	567911000001100	Inderal 10mg tablets (AstraZeneca UK Ltd)	Inderal 10mg tablets	Tablet	Oral	Propranolol hydrochloride	10.000mg		100000	B-blocker
768841000033117	930211000001107	Inderal 40mg tablets (AstraZeneca UK Ltd)	Inderal 40mg tablets	Tablet	Oral	Propranolol hydrochloride	40.000mg		100000	B-blocker
768941000033113	821011000001100	Inderal 80mg tablets (AstraZeneca UK Ltd)	Inderal 80mg tablets	Tablet	Oral	Propranolol hydrochloride	80.000mg		40000	B-blocker
769741000033118	424311000001108	Nindaxa 2.5 tablets (Ashbourne Pharmaceuticals Ltd)	Nindaxa 2.5 tablets	Tablet	Oral	Indapamide hemihydrate	2.500mg	2020100	4000	Diuretic
769841000033111	39696711000001104	Indoramin 25mg tablets	Indoramin 25mg tablets	Tablet	Oral	Indoramin hydrochloride	25.000mg	2050400	30000	Alpha blocker
769941000033115	NA	Indoramin Hydrochloride Tablets 50 mg							3000	Alpha blocker
770141000033115	146811000001108	Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd)	Innozide 20mg/12.5mg tablets	Tablet	Oral	Enalapril maleate/ Hydrochlorothiazide	20.000mg + 12.500mg	2050501	100000	Diuretic
793741000033117	237011000001100	Kalten capsules (M & A Pharmachem Ltd)	Kalten capsules	Capsule	Oral	Amiloride hydrochloride/ Atenolol/ Hydrochlorothiazide	2.500mg + 50.000mg + 25.000mg	2040000	100000	B-blocker
796541000033115	3252011000001105	Kalspare tablets (DHP Healthcare Ltd)	Kalspare tablets	Tablet	Oral	Chlortalidone/ Triamterene	50.000mg + 50.000mg	2020400	8000	Diuretic
808841000033119	3645811000001107	Lasilactone 20mg/50mg capsules (Sanofi)	Lasilactone 20mg/50mg capsules	Capsule	Oral	Furosemide/ Spironolactone	20.000mg + 50.000mg	2020400	90000	Diuretic
812041000033114	701111000001105	Lasix 5mg/5ml oral solution (Borg Medicare)	Lasix 5mg/5ml oral solution	Oral solution	Oral	Furosemide	1.000mg/1.000ml		2000	Diuretic
816141000033114	3704811000001105	Lasikal modified-release tablets (Borg Medicare)	Lasikal modified-release tablets	Modified-release tablet	Oral	Furosemide/ Potassium chloride	20.000mg + 750.000mg		60000	Diuretic
816341000033112	701611000001102	Lasix 20mg tablets (Borg Medicare)	Lasix 20mg tablets	Tablet	Oral	Furosemide	20.000mg	2020200	30000	Diuretic
816441000033118	79411000001107	Lasix 40mg tablets (Sanofi)	Lasix 40mg tablets	Tablet	Oral	Furosemide	40.000mg	2020200	200000	Diuretic
816541000033117	829911000001102	Lasix 500mg tablets (Sanofi)	Lasix 500mg tablets	Tablet	Oral	Furosemide	500.000mg	2020200	1000	Diuretic
818941000033112	678511000001106	Lasoride 5mg/40mg tablets (Sanofi)	Lasoride 5mg/40mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	5.000mg + 40.000mg	2020400	200000	Diuretic
850841000033110	756911000001107	Lopresor 100mg tablets (Recordati Pharmaceuticals Ltd)	Lopresor 100mg tablets	Tablet	Oral	Metoprolol tartrate	100.000mg	2040000	30000	B-blocker
850941000033119	113511000001109	Lopresor 50mg tablets (Recordati Pharmaceuticals Ltd)	Lopresor 50mg tablets	Tablet	Oral	Metoprolol tartrate	50.000mg	2040000	30000	B-blocker
851041000033112	916111000001108	Lopresor SR 200mg tablets (Recordati Pharmaceuticals Ltd)	Lopresor SR 200mg tablets	Modified-release tablet	Oral	Metoprolol tartrate	200.000mg	2040000	8000	B-blocker
890741000033112	NA	Metoprolol Fumarate S/r tablets 95 mg							100	B-blocker
891641000033111	36035411000001104	Metoprolol 200mg modified-release tablets	Metoprolol 200mg modified-release tablets	Modified-release tablet	Oral	Metoprolol tartrate	200.000mg	2040000	80000	B-blocker
896841000033116	375611000001109	Metenix 5mg tablets (Sanofi)	Metenix 5mg tablets	Tablet	Oral	Metolazone	5.000mg		10000	Diuretic
897741000033111	318474009	Metoprolol 100mg tablets	Metoprolol 100mg tablets	Tablet	Oral	Metoprolol tartrate	100.000mg	2040000	700000	B-blocker
897841000033118	318475005	Metoprolol 50mg tablets	Metoprolol 50mg tablets	Tablet	Oral	Metoprolol tartrate	50.000mg	2040000	3000000	B-blocker
898341000033114	NA	Metolazone Tablets 500 micrograms							2000	Diuretic
903541000033116	317965001	Metolazone 5mg tablets	Metolazone 5mg tablets	Tablet	Oral	Metolazone	5.000mg	2020100	200000	Diuretic
903641000033115	NA	Metoprolol Tartrate Tablets 200 mg							4000	B-blocker
935341000033118	74311000001101	Moducren tablets (Organon Pharma (UK) Ltd)	Moducren tablets	Tablet	Oral	Amiloride hydrochloride/ Hydrochlorothiazide/ Timolol maleate	2.500mg + 25.000mg + 10.000mg		90000	B-blocker
