ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues	Group	Name	Class
18141000033111	NA	Adizem-60 M/R tablets 60 mg							6000	6 month exclusion	Diltiazem	CCB
18241000033116	74111000001103	Adipine MR 20 tablets (Chiesi Ltd)	Adipine MR 20 tablets	Modified-release tablet	Oral	Nifedipine	20.000mg	2060200	600000	Mono	Nifedipine	CCB
18341000033114	833611000001109	Adipine MR 10 tablets (Chiesi Ltd)	Adipine MR 10 tablets	Modified-release tablet	Oral	Nifedipine	10.000mg	2060200	400000	Mono	Nifedipine	CCB
18441000033115	NA	Adizem-Xl Plus M/R capsules							40	6 month exclusion	Diltiazem	CCB
19341000033119	5011000001109	Adalat retard 20mg tablets (Bayer Plc)	Adalat retard 20mg tablets	Modified-release tablet	Oral	Nifedipine	20.000mg	2060200	2000000	Mono	Nifedipine	CCB
19441000033113	569011000001108	Adalat retard 10mg tablets (Bayer Plc)	Adalat retard 10mg tablets	Modified-release tablet	Oral	Nifedipine	10.000mg	2060200	1000000	Mono	Nifedipine	CCB
19541000033114	NA	Adizem-Sr Tablets 60 mg							5000	6 month exclusion	Diltiazem	CCB
19641000033110	2885611000001102	Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd)	Adizem-SR 120mg tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	120.000mg	2060200	70000	6 month exclusion	Diltiazem	CCB
19741000033118	NA	Adizem Continus Tablets 120 mg							3000	6 month exclusion	Diltiazem	CCB
57241000033113	NA	Amlodipine Besilate Tablets 5 mg							4000000	Mono	Amlodipine	CCB
59141000033113	908511000001100	Amias 16mg tablets (Neon Healthcare Ltd)	Amias 16mg tablets	Tablet	Oral	Candesartan cilexetil	16.000mg	2050502	50000	Mono	Candesartan	ARB
59241000033118	97311000001103	Amias 2mg tablets (Neon Healthcare Ltd)	Amias 2mg tablets	Tablet	Oral	Candesartan cilexetil	2.000mg	2050502	20000	Mono	Candesartan	ARB
59341000033111	857411000001100	Amias 4mg tablets (Neon Healthcare Ltd)	Amias 4mg tablets	Tablet	Oral	Candesartan cilexetil	4.000mg	2050502	60000	Mono	Candesartan	ARB
59441000033117	36011000001106	Amias 8mg tablets (Neon Healthcare Ltd)	Amias 8mg tablets	Tablet	Oral	Candesartan cilexetil	8.000mg	2050502	80000	Mono	Candesartan	ARB
60741000033111	NA	Amlodipine Besilate Tablets 10 mg							3000000	Mono	Amlodipine	CCB
61841000033111	811311000001107	Angiopine 10 capsules (Ashbourne Pharmaceuticals Ltd)	Angiopine 10 capsules	Capsule	Oral	Nifedipine	10.000mg		4000	Mono	Nifedipine	CCB
65241000033114	865011000001105	Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd)	Angiopine MR 20mg tablets	Modified-release tablet	Oral	Nifedipine	20.000mg		30000	Mono	Nifedipine	CCB
65341000033116	857011000001109	Angitil SR 90 capsules (Ethypharm UK Ltd)	Angitil SR 90 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	90.000mg	2060200	300000	6 month exclusion	Diltiazem	CCB
65441000033110	298811000001103	Angitil SR 120 capsules (Ethypharm UK Ltd)	Angitil SR 120 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg	2060200	200000	6 month exclusion	Diltiazem	CCB
65541000033111	336611000001101	Angitil SR 180 capsules (Ethypharm UK Ltd)	Angitil SR 180 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	180.000mg	2060200	100000	6 month exclusion	Diltiazem	CCB
65941000033117	440711000001104	Angiozem CR 90mg tablets (Ashbourne Pharmaceuticals Ltd)	Angiozem CR 90mg tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	90.000mg	2060200	6000	6 month exclusion	Diltiazem	CCB
66041000033110	144811000001101	Angiozem CR 120mg tablets (Ashbourne Pharmaceuticals Ltd)	Angiozem CR 120mg tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	120.000mg	2060200	4000	6 month exclusion	Diltiazem	CCB
66141000033114	568911000001104	Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd)	Angiopine MR 10mg tablets	Modified-release tablet	Oral	Nifedipine	10.000mg		10000	Mono	Nifedipine	CCB
71141000033114	672311000001103	Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd)	Angiozem 60mg modified-release tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	60.000mg		10000	6 month exclusion	Diltiazem	CCB
75941000033114	859711000001103	Aprovel 150mg tablets (Sanofi)	Aprovel 150mg tablets	Tablet	Oral	Irbesartan	150.000mg	2050502	60000	Mono	Irbesartan	ARB
76041000033116	323211000001107	Aprovel 300mg tablets (Sanofi)	Aprovel 300mg tablets	Tablet	Oral	Irbesartan	300.000mg	2050502	40000	Mono	Irbesartan	ARB
76141000033117	434511000001104	Aprovel 75mg tablets (Sanofi)	Aprovel 75mg tablets	Tablet	Oral	Irbesartan	75.000mg	2050502	30000	Mono	Irbesartan	ARB
124341000033119	3142711000001107	Beta-Adalat modified-release capsules (Bayer Plc)	Beta-Adalat modified-release capsules	Modified-release capsule	Oral	Atenolol/ Nifedipine	50.000mg + 20.000mg	2040000	100000	Combo	Combo	Combo
176741000033114	344811000001108	Cardene 20mg capsules (Astellas Pharma Ltd)	Cardene 20mg capsules	Capsule	Oral	Nicardipine hydrochloride	20.000mg	2060200	80000	Mono	Nicardipine	CCB
176841000033116	291111000001102	Cardene 30mg capsules (Astellas Pharma Ltd)	Cardene 30mg capsules	Capsule	Oral	Nicardipine hydrochloride	30.000mg	2060200	30000	Mono	Nicardipine	CCB
177741000033111	NA	Calcipine-5 Capsules 5 mg							8	Mono	Lacidipine	CCB
177841000033118	NA	Calcipine-10 Capsules 10 mg							3	Mono	Lacidipine	CCB
198941000033118	540311000001105	Cardene SR 30mg capsules (Astellas Pharma Ltd)	Cardene SR 30mg capsules	Modified-release capsule	Oral	Nicardipine hydrochloride	30.000mg	2060200	20000	Mono	Nicardipine	CCB
199041000033110	118811000001102	Cardene SR 45mg capsules (Astellas Pharma Ltd)	Cardene SR 45mg capsules	Modified-release capsule	Oral	Nicardipine hydrochloride	45.000mg	2060200	6000	Mono	Nicardipine	CCB
199141000033114	905711000001103	Cardilate MR 20mg tablets (IVAX Pharmaceuticals UK Ltd)	Cardilate MR 20mg tablets	Modified-release tablet	Oral	Nifedipine	20.000mg		8000	Mono	Nifedipine	CCB
199241000033119	104111000001100	Calcicard CR 120mg tablets (Teva UK Ltd)	Calcicard CR 120mg tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	120.000mg		10000	6 month exclusion	Diltiazem	CCB
199341000033112	219611000001107	Calcicard CR 90mg tablets (Teva UK Ltd)	Calcicard CR 90mg tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	90.000mg		20000	6 month exclusion	Diltiazem	CCB
209241000033119	546711000001107	Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capozide LS 12.5mg/25mg tablets	Tablet	Oral	Captopril/ Hydrochlorothiazide	25.000mg + 12.500mg		9000	Combo	Combo	Combo
209841000033115	3144511000001107	Carace 10 Plus tablets (Organon Pharma (UK) Ltd)	Carace 10 Plus tablets	Tablet	Oral	Hydrochlorothiazide/ Lisinopril	12.500mg + 10.000mg	2050501	10000	Combo	Combo	Combo
210541000033113	NA	Captopril Tablets 1 mg							200	ever exclusion	Captopril	ACE
210741000033117	NA	Captopril Tablets 2 mg							4000	ever exclusion	Captopril	ACE
211541000033119	318980005	Candesartan 16mg tablets	Candesartan 16mg tablets	Tablet	Oral	Candesartan cilexetil	16.000mg	2050502	6000000	Mono	Candesartan	ARB
211641000033118	318977009	Candesartan 2mg tablets	Candesartan 2mg tablets	Tablet	Oral	Candesartan cilexetil	2.000mg	2050502	2000000	Mono	Candesartan	ARB
211741000033110	318978004	Candesartan 4mg tablets	Candesartan 4mg tablets	Tablet	Oral	Candesartan cilexetil	4.000mg	2050502	6000000	Mono	Candesartan	ARB
211841000033117	318979007	Candesartan 8mg tablets	Candesartan 8mg tablets	Tablet	Oral	Candesartan cilexetil	8.000mg	2050502	8000000	Mono	Candesartan	ARB
213441000033119	318820009	Captopril 12.5mg tablets	Captopril 12.5mg tablets	Tablet	Oral	Captopril	12.500mg	2050501	1000000	ever exclusion	Captopril	ACE
214141000033113	134511000001103	Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capoten 12.5mg tablets	Tablet	Oral	Captopril	12.500mg	2050501	100000	ever exclusion	Captopril	ACE
214241000033118	455611000001103	Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capoten 25mg tablets	Tablet	Oral	Captopril	25.000mg	2050501	200000	ever exclusion	Captopril	ACE
214341000033111	386611000001109	Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capoten 50mg tablets	Tablet	Oral	Captopril	50.000mg	2050501	80000	ever exclusion	Captopril	ACE
214441000033117	318821008	Captopril 25mg tablets	Captopril 25mg tablets	Tablet	Oral	Captopril	25.000mg	2050501	2000000	ever exclusion	Captopril	ACE
214541000033116	318824000	Captopril 50mg tablets	Captopril 50mg tablets	Tablet	Oral	Captopril	50.000mg	2050501	900000	ever exclusion	Captopril	ACE
215941000033111	315211000001104	Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 10mg tablets	Tablet	Oral	Lisinopril	10.000mg		30000	ever exclusion	Lisinopril	ACE
216041000033118	321011000001103	Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 2.5mg tablets	Tablet	Oral	Lisinopril	2.500mg		20000	ever exclusion	Lisinopril	ACE
216141000033119	56711000001109	Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 20mg tablets	Tablet	Oral	Lisinopril	20.000mg		30000	ever exclusion	Lisinopril	ACE
216241000033114	778011000001109	Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Carace 5mg tablets	Tablet	Oral	Lisinopril	5.000mg		30000	ever exclusion	Lisinopril	ACE
216441000033110	17311000001102	Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Capozide 25mg/50mg tablets	Tablet	Oral	Captopril/ Hydrochlorothiazide	50.000mg + 25.000mg	2050501	200000	Combo	Combo	Combo
216641000033112	NA	Calcicard Tablets 60 mg							40	6 month exclusion	Diltiazem	CCB
217041000033116	3143511000001109	Carace 20 Plus tablets (Organon Pharma (UK) Ltd)	Carace 20 Plus tablets	Tablet	Oral	Hydrochlorothiazide/ Lisinopril	12.500mg + 20.000mg	2050501	30000	Combo	Combo	Combo
258141000033110	39685211000001104	Cilazapril 1mg tablets	Cilazapril 1mg tablets	Tablet	Oral	Cilazapril monohydrate	1.000mg		20000	ever exclusion	Cilazapril	ACE
258241000033115	39685311000001104	Cilazapril 2.5mg tablets	Cilazapril 2.5mg tablets	Tablet	Oral	Cilazapril monohydrate	2.500mg		30000	ever exclusion	Cilazapril	ACE
258341000033113	NA	Cilazapril Tablets 250 micrograms							2000	ever exclusion	Cilazapril	ACE
258441000033119	39686011000001104	Cilazapril 500microgram tablets	Cilazapril 500microgram tablets	Tablet	Oral	Cilazapril monohydrate	500.000microgram		10000	ever exclusion	Cilazapril	ACE
258641000033117	39685911000001104	Cilazapril 5mg tablets	Cilazapril 5mg tablets	Tablet	Oral	Cilazapril monohydrate	5.000mg		40000	ever exclusion	Cilazapril	ACE
336641000033114	126411000001108	Coracten SR 10mg capsules (UCB Pharma Ltd)	Coracten SR 10mg capsules	Modified-release capsule	Oral	Nifedipine	10.000mg	2060200	400000	Mono	Nifedipine	CCB
364241000033112	389611000001101	Coracten SR 20mg capsules (UCB Pharma Ltd)	Coracten SR 20mg capsules	Modified-release capsule	Oral	Nifedipine	20.000mg	2060200	500000	Mono	Nifedipine	CCB
370441000033112	266511000001104	Cozaar 25mg tablets (Organon Pharma (UK) Ltd)	Cozaar 25mg tablets	Tablet	Oral	Losartan potassium	25.000mg	2050502	40000	Mono	Losartan	ARB
370541000033113	53611000001106	Cozaar 50mg tablets (Organon Pharma (UK) Ltd)	Cozaar 50mg tablets	Tablet	Oral	Losartan potassium	50.000mg	2050502	200000	Mono	Losartan	ARB
370841000033110	255911000001105	Cozaar-Comp 50mg/12.5mg tablets (Organon Pharma (UK) Ltd)	Cozaar-Comp 50mg/12.5mg tablets	Tablet	Oral	Hydrochlorothiazide/ Losartan potassium	12.500mg + 50.000mg	2050502	200000	Combo	Combo	Combo
374841000033119	867011000001103	Cordilox 120mg tablets (IVAX Pharmaceuticals UK Ltd)	Cordilox 120mg tablets	Tablet	Oral	Verapamil hydrochloride	120.000mg		10000	Mono	Verapamil	Verapamil
374941000033110	783511000001101	Cordilox 160mg tablets (IVAX Pharmaceuticals UK Ltd)	Cordilox 160mg tablets	Tablet	Oral	Verapamil hydrochloride	160.000mg	2060200	10000	Mono	Verapamil	Verapamil
375041000033110	557111000001106	Cordilox 40mg tablets (IVAX Pharmaceuticals UK Ltd)	Cordilox 40mg tablets	Tablet	Oral	Verapamil hydrochloride	40.000mg	2060200	20000	Mono	Verapamil	Verapamil
375141000033114	258911000001104	Cordilox 80mg tablets (IVAX Pharmaceuticals UK Ltd)	Cordilox 80mg tablets	Tablet	Oral	Verapamil hydrochloride	80.000mg	2060200	20000	Mono	Verapamil	Verapamil
377541000033114	48211000001104	Coversyl 2mg tablets (Servier Laboratories Ltd)	Coversyl 2mg tablets	Tablet	Oral	Perindopril erbumine	2.000mg	2050501	60000	ever exclusion	Perindopril	ACE
377641000033110	902211000001100	Coversyl 4mg tablets (Servier Laboratories Ltd)	Coversyl 4mg tablets	Tablet	Oral	Perindopril erbumine	4.000mg	2050501	70000	ever exclusion	Perindopril	ACE
437641000033118	117011000001107	Diovan 160mg capsules (Novartis Pharmaceuticals UK Ltd)	Diovan 160mg capsules	Capsule	Oral	Valsartan	160.000mg	2050502	30000	Mono	Valsartan	ARB
437741000033110	777611000001101	Diovan 40mg capsules (Novartis Pharmaceuticals UK Ltd)	Diovan 40mg capsules	Capsule	Oral	Valsartan	40.000mg	2050502	20000	Mono	Valsartan	ARB
437841000033117	554511000001105	Diovan 80mg capsules (Novartis Pharmaceuticals UK Ltd)	Diovan 80mg capsules	Capsule	Oral	Valsartan	80.000mg	2050502	50000	Mono	Valsartan	ARB
451741000033117	NA	Diltiazem Hydrochloride M/R capsules 300 mg							4000	6 month exclusion	Diltiazem	CCB
451841000033110	39023211000001104	Diltiazem 120mg modified-release capsules	Diltiazem 120mg modified-release capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg	2060200	500000	6 month exclusion	Diltiazem	CCB
451941000033119	39023311000001104	Diltiazem 180mg modified-release capsules	Diltiazem 180mg modified-release capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	180.000mg	2060200	400000	6 month exclusion	Diltiazem	CCB
452041000033113	39023611000001104	Diltiazem 300mg modified-release capsules	Diltiazem 300mg modified-release capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	300.000mg	2060200	300000	6 month exclusion	Diltiazem	CCB
452141000033112	39023111000001104	Diltiazem 90mg modified-release capsules	Diltiazem 90mg modified-release capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	90.000mg	2060200	600000	6 month exclusion	Diltiazem	CCB
452641000033119	417111000001109	Dilzem SR 60 capsules (Teva UK Ltd)	Dilzem SR 60 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	60.000mg	2060200	200000	6 month exclusion	Diltiazem	CCB
452741000033111	682311000001105	Dilzem SR 90 capsules (Teva UK Ltd)	Dilzem SR 90 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	90.000mg	2060200	200000	6 month exclusion	Diltiazem	CCB
452841000033118	5711000001106	Dilzem SR 120 capsules (Teva UK Ltd)	Dilzem SR 120 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg	2060200	80000	6 month exclusion	Diltiazem	CCB
452941000033114	39023011000001104	Diltiazem 60mg modified-release capsules	Diltiazem 60mg modified-release capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	60.000mg	2060200	500000	6 month exclusion	Diltiazem	CCB
453041000033116	243111000001108	Dilzem XL 120 capsules (Teva UK Ltd)	Dilzem XL 120 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	120.000mg	2060200	100000	6 month exclusion	Diltiazem	CCB
453141000033117	254911000001106	Dilzem XL 180 capsules (Teva UK Ltd)	Dilzem XL 180 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	180.000mg	2060200	200000	6 month exclusion	Diltiazem	CCB
453241000033112	733511000001107	Dilzem XL 240 capsules (Teva UK Ltd)	Dilzem XL 240 capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	240.000mg	2060200	100000	6 month exclusion	Diltiazem	CCB
453741000033118	39023511000001104	Diltiazem 240mg modified-release capsules	Diltiazem 240mg modified-release capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	240.000mg	2060200	300000	6 month exclusion	Diltiazem	CCB
453941000033115	39023411000001104	Diltiazem 200mg modified-release capsules	Diltiazem 200mg modified-release capsules	Modified-release capsule	Oral	Diltiazem hydrochloride	200.000mg	2060200	400000	6 month exclusion	Diltiazem	CCB
454041000033118	39023811000001104	Diltiazem 60mg modified-release tablets	Diltiazem 60mg modified-release tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	60.000mg	2060200	1000000	6 month exclusion	Diltiazem	CCB
458841000033115	39023911000001104	Diltiazem 90mg modified-release tablets	Diltiazem 90mg modified-release tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	90.000mg	2060200	700000	6 month exclusion	Diltiazem	CCB
459641000033113	39024011000001112	Diltiazem 120mg modified-release tablets	Diltiazem 120mg modified-release tablets	Modified-release tablet	Oral	Diltiazem hydrochloride	120.000mg	2060200	500000	6 month exclusion	Diltiazem	CCB
468841000033112	NA	Diltiazem Hydrochloride Tablets 60 mg							600000	6 month exclusion	Diltiazem	CCB
522641000033110	318853004	Enalapril 10mg tablets	Enalapril 10mg tablets	Tablet	Oral	Enalapril maleate	10.000mg	2050501	5000000	ever exclusion	Enalapril	ACE
522741000033118	318855006	Enalapril 20mg tablets	Enalapril 20mg tablets	Tablet	Oral	Enalapril maleate	20.000mg	2050501	6000000	ever exclusion	Enalapril	ACE
522841000033111	318851002	Enalapril 5mg tablets	Enalapril 5mg tablets	Tablet	Oral	Enalapril maleate	5.000mg	2050501	4000000	ever exclusion	Enalapril	ACE
523541000033115	318850001	Enalapril 2.5mg tablets	Enalapril 2.5mg tablets	Tablet	Oral	Enalapril maleate	2.500mg	2050501	2000000	ever exclusion	Enalapril	ACE
523741000033111	NA	Enalapril Maleate Titration pack							600	ever exclusion	Enalapril	ACE
523941000033114	NA	Enalapril Maleate Wafers 10 mg							200	ever exclusion	Enalapril	ACE
524041000033111	NA	Enalapril Maleate Wafers 2.5 mg							100	ever exclusion	Enalapril	ACE
524141000033110	NA	Enalapril Maleate Wafers 20 mg							300	ever exclusion	Enalapril	ACE
524241000033115	NA	Enalapril Maleate Wafers 5 mg							200	ever exclusion	Enalapril	ACE
524341000033113	NA	Enalapril Maleate Wafers 10 mg							200	ever exclusion	Enalapril	ACE
524441000033119	NA	Enalapril Maleate Wafers 2.5 mg							10	ever exclusion	Enalapril	ACE
524541000033118	NA	Enalapril Maleate Wafers 20 mg							30	ever exclusion	Enalapril	ACE
524641000033117	NA	Enalapril Maleate Wafers 5 mg							70	ever exclusion	Enalapril	ACE
568041000033111	39020311000001104	Felodipine 2.5mg modified-release tablets	Felodipine 2.5mg modified-release tablets	Modified-release tablet	Oral	Felodipine	2.500mg	2060200	5000000	Mono	Felodipine	CCB
569041000033115	39020511000001104	Felodipine 10mg modified-release tablets	Felodipine 10mg modified-release tablets	Modified-release tablet	Oral	Felodipine	10.000mg	2060200	6000000	Mono	Felodipine	CCB
569141000033116	39020611000001112	Felodipine 5mg modified-release tablets	Felodipine 5mg modified-release tablets	Modified-release tablet	Oral	Felodipine	5.000mg	2060200	9000000	Mono	Felodipine	CCB
605941000033110	188711000001108	Fortipine LA 40 tablets (Advanz Pharma)	Fortipine LA 40 tablets	Modified-release tablet	Oral	Nifedipine	40.000mg	2060200	50000	Mono	Nifedipine	CCB
609141000033111	318909008	Fosinopril 10mg tablets	Fosinopril 10mg tablets	Tablet	Oral	Fosinopril sodium	10.000mg	2050501	400000	ever exclusion	Fosinopril	ACE
609241000033116	318910003	Fosinopril 20mg tablets	Fosinopril 20mg tablets	Tablet	Oral	Fosinopril sodium	20.000mg	2050501	400000	ever exclusion	Fosinopril	ACE
648341000033112	346811000001101	Gopten 1mg capsules (Abbott Laboratories Ltd)	Gopten 1mg capsules	Capsule	Oral	Trandolapril	1.000mg		20000	ever exclusion	Trandolapril	ACE
648441000033118	273111000001109	Gopten 2mg capsules (Abbott Laboratories Ltd)	Gopten 2mg capsules	Capsule	Oral	Trandolapril	2.000mg		30000	ever exclusion	Trandolapril	ACE
648541000033117	253511000001102	Gopten 500microgram capsules (Abbott Laboratories Ltd)	Gopten 500microgram capsules	Capsule	Oral	Trandolapril	500.000microgram		6000	ever exclusion	Trandolapril	ACE
660641000033112	846611000001102	Half Securon SR 120mg tablets (Viatris UK Healthcare Ltd)	Half Securon SR 120mg tablets	Modified-release tablet	Oral	Verapamil hydrochloride	120.000mg	2060200	200000	Mono	Verapamil	Verapamil
738141000033119	677411000001108	Hypolar Retard 20 tablets (Sandoz Ltd)	Hypolar Retard 20 tablets	Modified-release tablet	Oral	Nifedipine	20.000mg		2000	Mono	Nifedipine	CCB
769041000033116	316111000001104	Innovace 10mg tablets (Organon Pharma (UK) Ltd)	Innovace 10mg tablets	Tablet	Oral	Enalapril maleate	10.000mg	2050501	200000	ever exclusion	Enalapril	ACE
769141000033117	749611000001107	Innovace 2.5mg tablets (Organon Pharma (UK) Ltd)	Innovace 2.5mg tablets	Tablet	Oral	Enalapril maleate	2.500mg	2050501	60000	ever exclusion	Enalapril	ACE
769241000033112	302311000001104	Innovace 20mg tablets (Organon Pharma (UK) Ltd)	Innovace 20mg tablets	Tablet	Oral	Enalapril maleate	20.000mg	2050501	200000	ever exclusion	Enalapril	ACE
769341000033119	730211000001104	Innovace 5mg tablets (Organon Pharma (UK) Ltd)	Innovace 5mg tablets	Tablet	Oral	Enalapril maleate	5.000mg	2050501	200000	ever exclusion	Enalapril	ACE
770141000033115	146811000001108	Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd)	Innozide 20mg/12.5mg tablets	Tablet	Oral	Enalapril maleate/ Hydrochlorothiazide	20.000mg + 12.500mg	2050501	100000	Combo	Combo	Combo
775441000033117	318969005	Irbesartan 150mg tablets	Irbesartan 150mg tablets	Tablet	Oral	Irbesartan	150.000mg	2050502	4000000	Mono	Irbesartan	ARB
