prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group	Name	Class
756	408052000	87055020	Ramipril 10mg tablets	Ramipril	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
761	408040007	87049020	Ramipril 1.25mg tablets	Ramipril	1.25mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
764	8150111000001108	88424020	Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)	Valsartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
793	196035001000027104	75164020	Adizem xl 240mg Capsule (Napp Pharmaceuticals Ltd)	Diltiazem hydrochloride	240mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
828	318968002	85705020	Irbesartan 75mg tablets	Irbesartan	75mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Irbesartan	ARB
939	103611000001105	60296020	Tildiem Retard 90mg tablets (Sanofi)	Diltiazem hydrochloride	90mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
1021	146811000001108	51047020	Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd)	Enalapril maleate/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
1118	318204006	65395020	Verapamil 40mg tablets	Verapamil hydrochloride	40mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
1120	318205007	65396020	Verapamil 80mg tablets	Verapamil hydrochloride	80mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
1121	318820009	60377020	Captopril 12.5mg tablets	Captopril	12.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
1130	407011000001105	84427020	Viazem XL 300mg capsules (Thornton & Ross Ltd)	Diltiazem hydrochloride	300mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
1143	318821008	60378020	Captopril 25mg tablets	Captopril	25mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
1144	455611000001103	48566020	Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	25mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
1262	129175001000027104	65057020	Nifedipine 12 20mg Modified-release tablet	Nifedipine	20mg	Modified-release Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
1289	383911000001109	60297020	Tildiem Retard 120mg tablets (Sanofi)	Diltiazem hydrochloride	120mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
1293	318969005	85706020	Irbesartan 150mg tablets	Irbesartan	150mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Irbesartan	ARB
1298	318213008	65403020	Verapamil 240mg modified-release tablets	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
1299	318853004	60792020	Enalapril 10mg tablets	Enalapril maleate	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
1300	55365001000027104	54944020	Nifensar xl 20mg Modified-release tablet (Rhone-Poulenc Rorer Ltd)	Nifedipine	20mg	Modified-release Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
1449	214905001000027104	80873020	Nifedipine 24 30mg Modified-release tablet	Nifedipine	30mg	Modified-release Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
1520	17311000001102	68133020	Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril/Hydrochlorothiazide	50mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
1538	155445001000027104	68602020	Diltiazem 60mg tablets	Diltiazem Hydrochloride	60mg	Tablets	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
1574	36565011000001104	68472020	Verapamil 120mg modified-release capsules	Verapamil hydrochloride	120mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
1684	3142711000001107	68629020	Beta-Adalat modified-release capsules (Bayer Plc)	Atenolol/Nifedipine	50mg + 20mg	Modified-release capsule	Oral	02040000/02060200	Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers	Combo	Combo	Combo
1686	319182007	57176020	Diltiazem 90mg modified-release capsules	Diltiazem hydrochloride	90mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
1747	318206008	65397020	Verapamil 120mg tablets	Verapamil hydrochloride	120mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
1748	867011000001103	53062020	Cordilox 120mg tablets (IVAX Pharmaceuticals UK Ltd)	Verapamil hydrochloride	120mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
1780	318956006	76332020	Losartan 50mg tablets	Losartan potassium	50mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Losartan	ARB
1807	318824000	60379020	Captopril 50mg tablets	Captopril	50mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
1836	319205001	71948020	Diltiazem 60mg modified-release tablets	Diltiazem hydrochloride	60mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
1854	125735001000027104	64630020	Adalat la 30mg Tablet (Bayer Plc)	Nifedipine	30mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
1904	318855006	60796020	Enalapril 20mg tablets	Enalapril maleate	20mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
1995	71715001000027104	57177020	Diltiazem 12hr 120mg modified-release capsules	Diltiazem Hydrochloride	120mg	12 Hour Modified Release Capsules	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2280	569011000001108	52574020	Adalat retard 10mg tablets (Bayer Plc)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
2343	5011000001109	52575020	Adalat retard 20mg tablets (Bayer Plc)	Nifedipine	20mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
2453	155455001000027104	68603020	Diltiazem 60mg modified-release capsules	Diltiazem Hydrochloride	60mg	Modified Release Capsules	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2521	782511000001108	52565020	Adalat 10mg capsules (Bayer Plc)	Nifedipine	10mg	Capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
2528	130211000001109	76293020	Slozem 120mg capsules (Merck Serono Ltd)	Diltiazem hydrochloride	120mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2592	32311000001105	84421020	Viazem XL 120mg capsules (Thornton & Ross Ltd)	Diltiazem hydrochloride	120mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2605	319272002	73828020	Nifedipine 10mg modified-release capsules	Nifedipine	10mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
2663	181565001000027104	72565020	Diltiazem 240mg modified-release capsules	Diltiazem Hydrochloride	240mg	Modified Release Capsules	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2686	196445001000027104	75266020	Dilzem xl mr 240mg Modified-release capsule (Elan Pharma)	Diltiazem hydrochloride	240mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2746	126411000001108	73759020	Coracten SR 10mg capsules (UCB Pharma Ltd)	Nifedipine	10mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
2811	71085001000027104	57067020	Adizem sr 180mg Modified-release capsule (Napp Pharmaceuticals Ltd)	Diltiazem Hydrochloride	180mg	Modified-release Capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2888	762011000001102	62586020	Tildiem 60mg modified-release tablets (Sanofi)	Diltiazem hydrochloride	60mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
2926	319217004	65031020	Nicardipine 20mg capsules	Nicardipine hydrochloride	20mg	Capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nicardipine	CCB
2927	98615001000027104	03203007	PERINDOPRIL/TERT-BUTYLAMINE 2 MG TAB					00000000	Unknown	ever exclusion	Perindopril	ACE
2971	318970006	85707020	Irbesartan 300mg tablets	Irbesartan	300mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Irbesartan	ARB
2982	27665001000027104	51462020	Zestoretic 20- 20mg+12.5mg Tablet (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
3057	140411000001109	58377020	Securon 120mg tablets (Abbott Laboratories Ltd)	Verapamil hydrochloride	120mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
3061	71725001000027104	57178020	Diltiazem 12hr 180mg modified-release capsules	Diltiazem Hydrochloride	180mg	12 Hour Modified Release Capsules	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
3069	517711000001103	52609020	Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	25mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
3118	181545001000027104	72560020	Adizem sr 90mg Modified-release capsule (Napp Pharmaceuticals Ltd)	Diltiazem hydrochloride	90mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
3203	152555001000027104	68134020	Capozide LS Tablet (E R Squibb and Sons Ltd)	Hydrochlorothiazide/Captopril	12.5mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
3221	319301007	74745020	Lacidipine 4mg tablets	Lacidipine	4mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Lacidipine	CCB
3222	318962001	83502020	Valsartan 80mg capsules	Valsartan	80mg	Capsule	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Valsartan	ARB
3302	540311000001105	54862020	Cardene SR 30mg capsules (Astellas Pharma Ltd)	Nicardipine hydrochloride	30mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nicardipine	CCB
3310	134511000001103	48565020	Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	12.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
3342	540111000001108	58870020	Securon SR 240mg tablets (Mylan)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
3343	846611000001102	56683020	Half Securon SR 120mg tablets (Mylan)	Verapamil hydrochloride	120mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
3370	196425001000027104	75264020	Dilzem xl mr 120mg Modified-release capsule (Elan Pharma)	Diltiazem Hydrochloride	120mg	Modified-release Capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
3509	82805001000027104	02652007	ENALAPRIL MALEATE 40 MG TAB					00000000	Unknown	ever exclusion	Enalapril	ACE
3676	196435001000027104	75265020	Dilzem xl mr 180mg Modified-release capsule (Elan Pharma)	Diltiazem Hydrochloride	180mg	Modified-release Capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
3711	74111000001103	79719020	Adipine MR 20 tablets (Chiesi Ltd)	Nifedipine	20mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
3712	162811000001100	79074020	Coracten XL 30mg capsules (UCB Pharma Ltd)	Nifedipine	30mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
3720	593111000001108	68562020	Zestril 2.5mg tablets (AstraZeneca UK Ltd)	Lisinopril	2.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
3839	386611000001109	48567020	Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	50mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
3917	172711000001100	72822020	Istin 5mg tablets (Pfizer Ltd)	Amlodipine	5mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Amlodipine	CCB
3929	318886000	69849020	Quinapril 10mg tablets	Quinapril hydrochloride	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Quinapril	ACE
3930	319276004	80874020	Nifedipine 60mg modified-release tablets	Nifedipine	60mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
3943	318250009	68474020	Verapamil 240mg modified-release capsules	Verapamil hydrochloride	240mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
4103	318925003	69081020	Trandolapril 1mg capsules	Trandolapril	1mg	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Trandolapril	ACE
4155	97311000001103	79053020	Amias 2mg tablets (Takeda UK Ltd)	Candesartan cilexetil	2mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
4226	266511000001104	76329020	Cozaar 25mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium	25mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Losartan	ARB
4227	125745001000027104	64631020	Adalat la 60mg Tablet (Bayer Plc)	Nifedipine	60mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
4239	833611000001109	80337020	Adipine MR 10 tablets (Chiesi Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
4308	193225001000027104	74597020	Dilzem sr 90mg Capsule (Elan Pharma)	Diltiazem hydrochloride	90mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
4408	599811000001104	76295020	Slozem 240mg capsules (Merck Serono Ltd)	Diltiazem hydrochloride	240mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
4540	255911000001105	82246020	Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium/Hydrochlorothiazide	50mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
4542	35903311000001104	68847020	Atenolol 50mg / Nifedipine 20mg modified-release capsules	Atenolol/Nifedipine	50mg + 20mg	Modified-release capsule	Oral	02040000/02060200	Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers	Combo	Combo	Combo
4571	462511000001104	74174020	Staril 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Fosinopril sodium	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Fosinopril	ACE
4635	319187001	72177020	Diltiazem 200mg modified-release capsules	Diltiazem hydrochloride	200mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
4645	318963006	83503020	Valsartan 160mg capsules	Valsartan	160mg	Capsule	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Valsartan	ARB
4685	857411000001100	79054020	Amias 4mg tablets (Takeda UK Ltd)	Candesartan cilexetil	4mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
4732	319180004	72564020	Diltiazem 90mg modified-release tablets	Diltiazem hydrochloride	90mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
4741	318980005	81321020	Candesartan 16mg tablets	Candesartan cilexetil	16mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
4808	319186005	75522020	Diltiazem 240mg modified-release capsules	Diltiazem hydrochloride	240mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
4818	318979007	81325020	Candesartan 8mg tablets	Candesartan cilexetil	8mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
4852	181525001000027104	72558020	Adizem sr 120mg Modified-release tablet (Napp Pharmaceuticals Ltd)	Diltiazem hydrochloride	120mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
4856	389611000001101	73758020	Coracten SR 20mg capsules (UCB Pharma Ltd)	Nifedipine	20mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
4923	197585001000027104	75521020	Diltiazem 24hr 180mg modified-release capsules	Diltiazem Hydrochloride	180mg	24 Hour Modified Release Capsules	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
4939	3381511000001105	79075020	Coracten XL 60mg capsules (UCB Pharma Ltd)	Nifedipine	60mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
5013	36011000001106	79055020	Amias 8mg tablets (Takeda UK Ltd)	Candesartan cilexetil	8mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
5047	318926002	69082020	Trandolapril 2mg capsules	Trandolapril	2mg	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Trandolapril	ACE
5054	336611000001101	79521020	Angitil SR 180 capsules (Ethypharm UK Ltd)	Diltiazem hydrochloride	180mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
5117	908511000001100	86113020	Amias 16mg tablets (Takeda UK Ltd)	Candesartan cilexetil	16mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Candesartan	ARB
5158	319300008	74744020	Lacidipine 2mg tablets	Lacidipine	2mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Lacidipine	CCB
5159	318887009	69850020	Quinapril 20mg tablets	Quinapril hydrochloride	20mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Quinapril	ACE
5162	319247002	79993020	Nifedipine 30mg modified-release capsules	Nifedipine	30mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
5181	865011000001105	71013020	Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd)	Nifedipine	20mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
5189	318849001	51068020	Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets	Enalapril maleate/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
5194	193235001000027104	74598020	Dilzem sr 120mg Capsule (Elan Pharma)	Diltiazem Hydrochloride	120mg	Capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
5234	119211000001108	76294020	Slozem 180mg capsules (Merck Serono Ltd)	Diltiazem hydrochloride	180mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
5275	835411000001105	72670020	Tritace 2.5mg capsules (Sanofi)	Ramipril	2.5mg	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Ramipril	ACE
5277	188711000001108	83624020	Fortipine LA 40 tablets (AMCo)	Nifedipine	40mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
5296	111165001000027104	62587020	Tildiem la 300mg Modified-release capsule (Sanofi)	Diltiazem hydrochloride	300mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
5326	198095001000027104	75621020	Diltiazem 24hr 300mg modified-release capsules	Diltiazem Hydrochloride	300mg	24 Hour Modified Release Capsules	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
